,date,tweet,cleaning_the_tweets,len,Textblob,Vader
19,2019-07-15 23:49:24,"Baby take my hand
I want you to be my special.
Cause you are my Iron Man and I Love you 3000~
Baby, take a chance
C https://t.co/ePH1YQDmRm",baby take hand want special cause iron man love baby take chance c eph yqdmrm,77,1,1
20,2019-07-15 23:49:25,"RT @strawberry_koo: Broke: avengers endgame is most ambitious crossover in history 

Woke: Jackson wang having a house party in every fando",strawberry koo broke avengers endgame ambitious crossover history woke jackson wang house pa every fando,104,1,1
21,2019-07-15 23:49:25,"RT @lokiana_: The Avengers (2012)
#Loki https://t.co/0uSdtC7395",lokiana avengers loki usdtc,27,0,0
22,2019-07-15 23:49:25,RT @scarlettsflash: deleted scenes of steve in avengers 1. they really shouldve kept these https://t.co/gv5tuqGO8d,scarlettsflash deleted scenes steve avengers really shouldve kept gv tuqgo,74,1,0
23,2019-07-15 23:49:26,"RT @strawberry_koo: Broke: avengers endgame is most ambitious crossover in history 

Woke: Jackson wang having a house party in every fando",strawberry koo broke avengers endgame ambitious crossover history woke jackson wang house pa every fando,104,1,1
24,2019-07-15 23:49:26,"RT @Adamsayeni: Forty(40) 2019 Movies that you must see in the 2nd half of this year...
I've seen 26 out of the 40.
Let me know how many yo",adamsayeni fo movies must see nd half year seen let know many yo,64,1,0
25,2019-07-15 23:49:27,"RT @thor_benson: Hey @TomSteyer,

Instead of spending $100 million running for president, how about you help @AmyMcGrathKY, @harrisonjaime",thor benson hey tomsteyer instead spending million running president help amymcgrathky harrisonjaime,100,0,1
26,2019-07-15 23:49:28,RT @uvwxy__z: if avengers was made in india https://t.co/D2Zz8iTa5H,uvwxy z avengers made india zz ita h,36,0,0
27,2019-07-15 23:49:28,"RT @latxcvi: Disney will survive if I dont see this movie, I promise. https://t.co/Sx9XCln8YX",latxcvi disney survive dont see movie promise sx xcln yx,56,0,-1
28,2019-07-15 23:49:30,RT @petermjned: im so happy that ffh got the highest audience score but holy shit captain marvel deserves better there are a LOT of mcu fil,petermjned im happy ffh got highest audience holy shit captain marvel deserves better lot mcu fil,97,1,1
29,2019-07-15 23:49:30,sorry to disappoint but emily van camp is absolutely beautiful and so talented and sharon is incredible n deserves https://t.co/TdBtaDMZZ3,sorry disappoint emily van camp absolutely beautiful talented sharon incredible n deserves tdbtadmzz,100,1,1
30,2019-07-15 23:49:31,"RT @remscaptain: steve : *lifts mjolnir*

thor: Go bitch, go bitch, go bestie (Go bestie) Can't fuck with these hoes 'cause they messy Go b",remscaptain steve lifts mjolnir thor go bitch go bitch go bestie go bestie fuck hoes cause messy go b,101,-1,-1
31,2019-07-15 23:49:32,"@ChrisEvans @MarkRuffalo
@chrishemsworth @RobertDowneyJr @Scarlett_Jo

Holy shit every day I put on the news I feel https://t.co/UY9aOIO54S",chrisevans markruffalo chrishemswo h robe downeyjr scarlett jo holy shit every day put news feel uy aoio,104,-1,-1
32,2019-07-15 23:49:32,"RT @andyrose_88: @benshapiro Yes, we have an internecine fight and Trump makes Pelosi defend them...then they start another fight. He makes",andyrose benshapiro yes internecine fight trump makes pelosi defend sta another fight makes,91,0,-1
33,2019-07-15 23:49:33,@_Flashparodox_ @CinematicBanter @LeCinephiles And please dont turn the account into an MCU Cuck/ Stan account...c https://t.co/rVfHJ6n1af,flashparodox cinematicbanter lecinephiles please dont turn ac unt mcu cuck stan ac unt c rvfhj n af,99,0,1
34,2019-07-15 23:49:33,@699euros THOR RAGNAROK!!!! I PROMISE,euros thor ragnarok promise,27,0,1
35,2019-07-15 23:49:35,"RT @quakefalcon: captain america is now a black man. the smartest person in the mcu is shuri, a black girl. the leader of new asgard is bru",quakefal n captain america black man sma est person mcu shuri black girl leader new asgard bru,94,-1,0
36,2019-07-15 23:49:35,"RT @MarvelStudios: He is Iron Man, from the beginning to the end. #AvengersEndgame https://t.co/vKjJcyzxOM",marvelstudios iron man beginning end avengersendgame vkjjcyzxom,63,0,0
37,2019-07-15 23:49:36,The Avengers we need #TheSquad https://t.co/xS7Y3KJGhT,avengers need thesquad xs kjght,31,0,0
38,2019-07-15 23:49:36,"@thispettypace Read: Books
Produce: Drawings
Reject: Reading blobs of content, and having to answer questions
Embra https://t.co/wHhRmM7m8i",thispettypace read books produce drawings reject reading blobs ntent answer questions embra whhrmm,98,0,-1
39,2019-07-15 23:49:37,RT @kikkkiana: I would like to see the avengers raid Area 51,kikkkiana would like see avengers raid area,43,0,1
40,2019-07-15 23:49:39,"RT @quakefalcon: captain america is now a black man. the smartest person in the mcu is shuri, a black girl. the leader of new asgard is bru",quakefal n captain america black man sma est person mcu shuri black girl leader new asgard bru,94,-1,0
41,2019-07-15 23:49:40,"@imaGEEtwo Yeah I like Tobey but he was too nerdy. A superhero supposed to know he the shit like Iron Man , Iron Ma https://t.co/5ESyHvDwhN",imageetwo yeah like tobey nerdy superhero supposed know shit like iron man iron esyhvdwhn,89,-1,1
42,2019-07-15 23:49:42,RT @NathanZed: At the Avengers Headquarters of young black content creators https://t.co/WZdDkPhRmH,nathanzed avengers headqua ers young black ntent creators wzddkphrmh,68,-1,0
43,2019-07-15 23:49:42,RT @cassettelang: this is a good time to remind you that emily blunt was almost the mcu's black widow https://t.co/tJh953D74B,cassettelang good time remind emily blunt almost mcu black widow tjh b,70,1,1
44,2019-07-15 23:49:43,"RT @celestialthor: locals who didnt watch the ant man movies are missing out on the badass that is hope van dyne, please stop sleeping on o",celestialthor locals didnt watch ant man movies missing badass hope van dyne please stop sleeping,97,-1,1
45,2019-07-15 23:49:44,RT @LiamPayne: @MarkRuffalo @TomHolland1996 Filming avengers newgame,liampayne markruffalo tomholland filming avengers newgame,57,0,0
46,2019-07-15 23:49:45,"@WorthyOfMjoInir Why? 

    THOR NO LIKE HULK?",wo hyofmjoinir thor like hulk,29,0,1
47,2019-07-15 23:49:45,All. Of. Them.,,0,0,0
48,2019-07-15 23:49:45,RT @CaptMarvelNews: O-M-G! The Women of the MCU Bonus Feature from the Avengers Endgame Blu-Ray!! #CaptainMarvel https://t.co/bu4IlQd0cj,captmarvelnews g women mcu bonus feature avengers endgame blu ray captainmarvel bu ilqd cj,90,0,1
49,2019-07-15 23:49:46,RT @70squill: its ok bc that means shes available for susan storm https://t.co/Up8KfEpXUb,squill ok bc means shes available susan storm kfepxub,53,1,1
50,2019-07-15 23:49:46,RT @flkrofhemsworth: if Liam Payne says he wants a new movie instead of Endgame then you make a new one https://t.co/7rA7se1B56,flkrofhemswo h liam payne says wants new movie instead endgame make new one ra se b,83,1,0
51,2019-07-15 23:49:47,Want an overview of the #MCU Phase 3? How about our thoughts on #SpiderManFarFromHome? How about my attempt at maki https://t.co/6f2BXmrgrR,want overview mcu phase thoughts spidermanfarfromhome attempt maki f bxmrgrr,76,0,1
52,2019-07-15 23:49:48,Thank god,thank god,9,0,1
53,2019-07-15 23:49:48,"RT @CaptMarvelNews: AAAAAAAA stills from the Women of Marvel bonus content, featured on the Avengers EndGame Blu-Ray! #CaptainMarvel https:",captmarvelnews aaaaaaaa stills women marvel bonus ntent featured avengers endgame blu ray captainmarvel,103,0,1
54,2019-07-15 23:49:51,RT @CaptMarvelNews: O-M-G! The Women of the MCU Bonus Feature from the Avengers Endgame Blu-Ray!! #CaptainMarvel https://t.co/bu4IlQd0cj,captmarvelnews g women mcu bonus feature avengers endgame blu ray captainmarvel bu ilqd cj,90,0,1
55,2019-07-15 23:49:51,"RT @GovMurphy: New Jersey has some of the toughest gun laws in the nation, but the Iron Pipeline is alive and well. We must continue to w",govmurphy new jersey toughest gun laws nation iron pipeline alive well must ntinue w,84,1,1
56,2019-07-15 23:49:52,RT @marvelousxoxo: Thors entrance In Wakanda still remains superior. https://t.co/4nH1HvJgSD,marvelousxoxo thors entrance wakanda still remains superior nh hvjgsd,69,1,1
57,2019-07-15 23:49:53,"RT @hiddlestomas: i can't believe marvel released two amazing movies this year, captain marvel and far from home. truly moments most pleasi",hiddlestomas believe marvel released two amazing movies year captain marvel far home truly moments pleasi,105,1,1
58,2019-07-15 23:49:53,"RT @NYCj360: Why is iron man like this?
#boxisbroken #mvci #inf_smr #mvci_iro #endgame #iamironman #ironman https://t.co/DuhgQaLHTI",nycj iron man like boxisbroken mvci inf smr mvci iro endgame iamironman ironman duhgqalhti,90,0,1
59,2019-07-15 23:49:55,RT @DEADLINE: #AvengersEndgame picked up 14 Saturn Award nominations https://t.co/ZeZkxOujjV,deadline avengersendgame picked saturn award nominations zezkxoujjv,67,0,1
60,2019-07-15 23:49:56,Im organizing my T-shirts and i didnt realize the amount of avengers and Star Wars shirts i have SKSJSJS,im organizing shi didnt realize amount avengers star wars shi sksjsjs,69,0,-1
61,2019-07-15 23:49:57,RT @cassettelang: this is a good time to remind you that emily blunt was almost the mcu's black widow https://t.co/tJh953D74B,cassettelang good time remind emily blunt almost mcu black widow tjh b,70,1,1
62,2019-07-15 23:49:57,RT @HiTopFilms: Happy early birthday!  https://t.co/lVeDypAAAr,hitopfilms happy early bi hday lvedypaaar,41,1,1
63,2019-07-15 23:49:57,RT @adoringis: Watching marvels sisterhood makes me think about how much Gwyneth loved to play Pepper Potts. She understood her character,adoringis watching marvels sisterhood makes think much gwyneth loved play pepper potts understood character,107,1,1
64,2019-07-15 23:50:00,"RT @starklordx: I added Avengers theme to Brock Lesnar cash in. A theme fit for a true hero, our lord and savior Brock. https://t.co/pgTIWB",starklordx added avengers theme brock lesnar cash theme fit true hero lord savior brock pgtiwb,94,1,1
65,2019-07-15 23:50:01,RT @Pagmyst: @_Flashparodox_ @CinematicBanter @LeCinephiles And please dont turn the account into an MCU Cuck/ Stan account...cant have a,pagmyst flashparodox cinematicbanter lecinephiles please dont turn ac unt mcu cuck stan ac unt cant,99,0,1
66,2019-07-15 23:50:02,"RT @BethSleven: I made a tiny infinity gauntlet for a tiny human! : )
@RobertDowneyJr @MarkRuffalo @TomHolland1996 @Russo_Brothers 
#marvel",bethsleven made tiny infinity gauntlet tiny human robe downeyjr markruffalo tomholland russo brothers marvel,108,0,1
67,2019-07-15 23:50:03,"Thor and I'll be right back
Got slim inspired enough to
Arch my back that mean attack
Roof off like two",thor right back got slim inspired enough arch back mean attack roof like two,76,-1,1
68,2019-07-15 23:50:03,"RT @jasonaaron: Writing some King Thor. Happy Sunday. 

P.S. How awesome is this @gerardozaffino cover for issue #1? https://t.co/0l2JDN7gnb",jasonaaron writing king thor happy sunday p awesome gerardozaffino ver issue l jdn gnb,86,1,1
69,2019-07-15 23:50:03,"movie questions 

 1. far from home
 2. how to train your dragon 2
 3. yesterday
 4. the imitation game
 5. nacho l https://t.co/RbLPwbzaP3",movie questions far home train dragon yesterday imitation game nacho l rblpwbzap,80,-1,0
70,2019-07-15 23:50:05,"RT @HisDuckling: Sam: what was it like to read that script [Iron Man] for the first time?
RDJ: I probably thought it was garbage",hisduckling sam like read script iron man first time rdj probably thought garbage,81,1,1
71,2019-07-15 23:50:05,"RT @SailorRamona: Spider-Man: Far From Home thoughts: God, imagine how good MCU Spider-Man could be if they could just...not give a shit ab",sailorramona spider man far home thoughts god imagine good mcu spider man uld uld give shit ab,94,1,1
72,2019-07-15 23:50:05,RT @uvwxy__z: if avengers was made in india https://t.co/D2Zz8iTa5H,uvwxy z avengers made india zz ita h,36,0,0
73,2019-07-15 23:50:06,"indieGames: Avengers: Endgame's Directors Are Going On Tour For Some Reason, Kicking Off At SDCC https://t.co/2sOBnbwIKb",indiegames avengers endgame directors going tour reason kicking sdcc sobnbwikb,78,0,0
74,2019-07-15 23:50:07,RT @MemesCentraI: Avengers got it all wrong https://t.co/rmt20DybBB,memescentrai avengers got wrong rmt dybbb,41,-1,-1
75,2019-07-15 23:50:07,"RT @heimdallstan: Thor: Ive missed you, mum. 

My heart: https://t.co/wIY0EGbmZz",heimdallstan thor ive missed mum hea wiy egbmzz,47,0,-1
76,2019-07-15 23:50:07,LEGO #Marvel Avengers: Endgame Iron Man Life-Size Model Debuting At #SDCC19 https://t.co/pGAkn1JCpj https://t.co/JVowGcZSkf,lego marvel avengers endgame iron man life size model debuting sdcc pgakn jcpj jvowgczskf,89,0,1
77,2019-07-15 23:50:08,"RT @BethSleven: I made a tiny infinity gauntlet for a tiny human! : )
@RobertDowneyJr @MarkRuffalo @TomHolland1996 @Russo_Brothers 
#marvel",bethsleven made tiny infinity gauntlet tiny human robe downeyjr markruffalo tomholland russo brothers marvel,108,0,1
78,2019-07-15 23:50:08,RT @CaptMarvelNews: O-M-G! The Women of the MCU Bonus Feature from the Avengers Endgame Blu-Ray!! #CaptainMarvel https://t.co/bu4IlQd0cj,captmarvelnews g women mcu bonus feature avengers endgame blu ray captainmarvel bu ilqd cj,90,0,1
79,2019-07-15 23:50:09,RT @theMemesBot: Avengers got it all wrong https://t.co/LCEFss0dTE,thememesbot avengers got wrong lcefss dte,41,-1,-1
80,2019-07-15 23:50:10,RT @OldPMI: Topic is Iron Mans death in the MCU https://t.co/uy6EHJBJs3,oldpmi topic iron mans death mcu uy ehjbjs,42,0,-1
81,2019-07-15 23:50:10,RT @username_yeet: Listen yall I love the MCU and Disney but PLEASE WATCH OTHER MOVIES https://t.co/qKLNyMuOlG,username yeet listen yall love mcu disney please watch movies qklnymuolg,72,1,1
82,2019-07-15 23:50:10,How do I start reading marvel comics? Is there an order like the movies or what?,sta reading marvel mics order like movies,41,0,1
83,2019-07-15 23:50:13,"RT @NYCj360: Why is iron man like this?
#boxisbroken #mvci #inf_smr #mvci_iro #endgame #iamironman #ironman https://t.co/DuhgQaLHTI",nycj iron man like boxisbroken mvci inf smr mvci iro endgame iamironman ironman duhgqalhti,90,0,1
84,2019-07-15 23:50:15,"RT @lokiana_: Thor (2011) 
King
#Loki https://t.co/JtRFQfqUGk",lokiana thor king loki jtrfqfqugk,33,0,0
85,2019-07-15 23:50:16,"RT @strawberry_koo: Broke: avengers endgame is most ambitious crossover in history 

Woke: Jackson wang having a house party in every fando",strawberry koo broke avengers endgame ambitious crossover history woke jackson wang house pa every fando,104,1,1
86,2019-07-15 23:50:18,"@Symbizoid They treat her like MCU's Vision, less lame of course. Almost always near death.",symbizoid treat like mcu vision less lame urse almost always near death,71,-1,0
87,2019-07-15 23:50:18,"@NYCKNP I hope that after FFH, that means she will be more involved with earth. I mean the reason why she kept her https://t.co/sP4FAICsrY",nycknp hope ffh means involved ea h mean reason kept sp faicsry,63,-1,1
88,2019-07-15 23:50:20,"he loved his character in the mcu but now hes no longer in it SOOOO, i understand.",loved character mcu hes longer soooo understand,47,1,1
89,2019-07-15 23:50:22,RT @theMemesBot: Avengers got it all wrong https://t.co/LCEFss0dTE,thememesbot avengers got wrong lcefss dte,41,-1,-1
90,2019-07-15 23:50:25,RT @77MCU: We Love You 3000 Tour #AvengersEndgame https://t.co/e8enNqTjg7,mcu love tour avengersendgame e ennqtjg,39,1,1
91,2019-07-15 23:50:25,RT @Avengers: Marvel Studios and #AvengersEndgame directors Anthony and Joe Russo have teamed up to launch the #WeLoveYou3000 Tour! As a th,avengers marvel studios avengersendgame directors anthony joe russo teamed launch weloveyou tour th,99,0,1
92,2019-07-15 23:50:26,@xbiscaynebaex the mcu balances out by having both the worst chris (pratt) and the best chris (evans). hemsworth is https://t.co/QPxS8c4v1G,xbiscaynebaex mcu balances worst chris pratt best chris evans hemswo h qpxs c v g,81,0,0
93,2019-07-15 23:50:28,RT @MCU_Direct: Expect to see a much more independent Peter Parker / Spider-Man in the MCU going forward... https://t.co/x6zyRNRWkh https:/,mcu direct expect see much independent peter parker spider man mcu going forward x zyrnrwkh,91,1,0
94,2019-07-15 23:50:29,RT @neIliescrain: the first female superhero to have her name in an mcu film title and the first female superhero to have a solo film in on,neiliescrain first female superhero name mcu film title first female superhero solo film,88,1,0
95,2019-07-15 23:50:30,RT @DEADLINE: #AvengersEndgame picked up 14 Saturn Award nominations https://t.co/ZeZkxOujjV,deadline avengersendgame picked saturn award nominations zezkxoujjv,67,0,1
96,2019-07-15 23:50:31,RT @caprogers1940: Are these yalls avengers? https://t.co/WZuTefkmwI,caprogers yalls avengers wzutefkmwi,35,0,0
97,2019-07-15 23:50:31,"RT @Howsito: If this supercut of MCU films doesn't get you fired up for the Phase 4 reveals at #SDCC2019 on Sunday, best check you have a p",howsito supercut mcu films get fired phase reveals sdcc sunday best check p,75,1,1
98,2019-07-15 23:50:32,Marvel is taking this to CLEVELAND. But not Philly or even NYC. I have never been so angry with Marvel.,marvel taking cleveland philly even nyc never angry marvel,58,1,1
99,2019-07-15 23:50:33,"RT @classicparker_: ""He's like Captain America and Thor rolled into one."" https://t.co/hReiDtRU2h",classicparker like captain america thor rolled one hreidtru h,61,0,1
100,2019-07-15 23:50:35,"RT @alekseyrico: My submissios for amazing project by @danny_schlitz

Made with Affinity Designer for iOS by @affinitybyserif using iPad Pr",alekseyri submissios amazing project danny schlitz made affinity designer ios affinitybyserif using ipad pr,107,1,1
101,2019-07-15 23:50:37,@CobyValentine 2 back...here we go.....Hope Thor locks em down now.,cobyvalentine back go hope thor locks em,40,0,1
102,2019-07-15 23:50:38,"@BrettCainBooks Too bad Thanos and Iron Man are fictional, but the church has been bleeding for years now with no s https://t.co/lD4QHjx4dY",brettcainbooks bad thanos iron man fictional church bleeding years ld qhjx dy,77,-1,-1
103,2019-07-15 23:50:40,dont use daddy thor against me leo sheldon,dont use daddy thor leo sheldon,31,0,0
104,2019-07-15 23:50:40,RT @kiImonger: just noticed that the only time some people on here care about lesbians is when they need rts off of saying thor is the prot,kiimonger noticed time people care lesbians need saying thor prot,65,0,1
105,2019-07-15 23:50:41,"RT @KamalRenelle: I AM IRON MAN - Animation https://t.co/vWnQ2mSUuI 
#AvengersEndgame https://t.co/UDk9JnDzMg",kamalrenelle iron man animation vwnq msuui avengersendgame udk jndzmg,69,0,0
106,2019-07-15 23:50:43,"RT @JediTink: Want an overview of the #MCU Phase 3? How about our thoughts on #SpiderManFarFromHome? How about my attempt at making ""Thwipp",jeditink want overview mcu phase thoughts spidermanfarfromhome attempt making thwipp,84,0,1
107,2019-07-15 23:50:44,"RT @nanaA__3: loki: the sun will shine on us again

thor and me after watching endgame: https://t.co/tLqmrlYonI",nanaa loki sun shine us thor watching endgame tlqmrlyoni,56,0,0
108,2019-07-15 23:50:46,RT @uvwxy__z: if avengers was made in india https://t.co/D2Zz8iTa5H,uvwxy z avengers made india zz ita h,36,0,0
109,2019-07-15 23:50:46,@CinematicBanter @_Flashparodox_ @LeCinephiles I uploaded another Iron Man video on my Warstu channel,cinematicbanter flashparodox lecinephiles uploaded another iron man video warstu channel,88,0,0
110,2019-07-15 23:50:48,we were robbed,robbed,6,0,0
111,2019-07-15 23:50:49,RT @MCU_Direct: Expect to see a much more independent Peter Parker / Spider-Man in the MCU going forward... https://t.co/x6zyRNRWkh https:/,mcu direct expect see much independent peter parker spider man mcu going forward x zyrnrwkh,91,1,0
112,2019-07-15 23:50:50,RT @Avengers: Marvel Studios and #AvengersEndgame directors Anthony and Joe Russo have teamed up to launch the #WeLoveYou3000 Tour! As a th,avengers marvel studios avengersendgame directors anthony joe russo teamed launch weloveyou tour th,99,0,1
113,2019-07-15 23:50:50,"RT @celestialthor: locals who didnt watch the ant man movies are missing out on the badass that is hope van dyne, please stop sleeping on o",celestialthor locals didnt watch ant man movies missing badass hope van dyne please stop sleeping,97,-1,1
114,2019-07-15 23:50:51,"RT @getFANDOM: Marvel Studios &amp; @Russo_Brothers launch the 'We Love You 3000' tour to thank fans and celebrate the #Endgame home release

(",getfandom marvel studios amp russo brothers launch love tour thank fans celebrate endgame home release,102,1,1
115,2019-07-15 23:50:51,RT @MCUPEPPER: say what yall want about gwyneth but she loved playing pepper potts and being apart of the mcu,mcupepper say yall want gwyneth loved playing pepper potts apa mcu,66,1,1
116,2019-07-15 23:50:51,"@abibarchus and i are watching thor. me: how do you say it (mjolnir)
Abi: idk but it sounds like meow-meow",abibarchus watching thor say mjolnir abi idk sounds like meow meow,66,0,1
117,2019-07-15 23:50:54,RT @MemesCentraI: Avengers got it all wrong https://t.co/rmt20DybBB,memescentrai avengers got wrong rmt dybbb,41,-1,-1
118,2019-07-15 23:50:55,RT @caprogers1940: Are these yalls avengers? https://t.co/WZuTefkmwI,caprogers yalls avengers wzutefkmwi,35,0,0
119,2019-07-15 23:50:58,RT @Avengers: Marvel Studios and #AvengersEndgame directors Anthony and Joe Russo have teamed up to launch the #WeLoveYou3000 Tour! As a th,avengers marvel studios avengersendgame directors anthony joe russo teamed launch weloveyou tour th,99,0,1
120,2019-07-15 23:50:59,RT @CaptMarvelNews: O-M-G! The Women of the MCU Bonus Feature from the Avengers Endgame Blu-Ray!! #CaptainMarvel https://t.co/bu4IlQd0cj,captmarvelnews g women mcu bonus feature avengers endgame blu ray captainmarvel bu ilqd cj,90,0,1
121,2019-07-15 23:50:59,@SPIDEYPARX venom was so good im so mad its not apart of the mcu,spideyparx venom good im mad apa mcu,36,1,-1
122,2019-07-15 23:51:00,RT @cxrolmaria: the other avengers when hawkeye came back from vormir alone https://t.co/YhHdZzlzh8,cxrolmaria avengers hawkeye came back vormir alone yhhdzzlzh,60,0,-1
123,2019-07-15 23:51:00,RT @califira: tom came up with the idea of recreating this scene and went back to watch iron man 1 to learn roberts movements. if this doe,califira tom came idea recreating scene went back watch iron man learn robe movements doe,89,0,0
124,2019-07-15 23:51:02,RT @NathanZed: At the Avengers Headquarters of young black content creators https://t.co/WZdDkPhRmH,nathanzed avengers headqua ers young black ntent creators wzddkphrmh,68,-1,0
125,2019-07-15 23:51:03,RT @neIliescrain: the first female superhero to have her name in an mcu film title and the first female superhero to have a solo film in on,neiliescrain first female superhero name mcu film title first female superhero solo film,88,1,0
126,2019-07-15 23:51:04,"RT @stevesthcr: not to be an mcu stan on main but steve, sam, and bucky wouldve been one of the best trios if marvel had made serpent soci",stevesthcr mcu stan main steve sam bucky wouldve one best trios marvel made serpent soci,88,1,1
127,2019-07-15 23:51:04,"he loved his character in the mcu but now hes not longer in it SOOOO, i understand.",loved character mcu hes longer soooo understand,47,1,1
128,2019-07-15 23:51:05,"RT @whitewolfbxrnes: i hate stan twitter. bitches be like i love the best mcu movie f*ck you, which one. https://t.co/CUFQaPrpUy",whitewolfbxrnes hate stan twitter bitches like love best mcu movie f ck one cufqaprpuy,86,1,1
129,2019-07-15 23:51:05,"RT @celestialthor: locals who didnt watch the ant man movies are missing out on the badass that is hope van dyne, please stop sleeping on o",celestialthor locals didnt watch ant man movies missing badass hope van dyne please stop sleeping,97,-1,1
130,2019-07-15 23:51:07,"RT @quakefalcon: captain america is now a black man. the smartest person in the mcu is shuri, a black girl. the leader of new asgard is bru",quakefal n captain america black man sma est person mcu shuri black girl leader new asgard bru,94,-1,0
131,2019-07-15 23:51:07,RT @rdjcevans: I wanna meet with @RobertDowneyJr and @ChrisEvans but I only have $3 https://t.co/39EEXDPeib,rdjcevans wanna meet robe downeyjr chrisevans eexdpeib,54,0,0
132,2019-07-15 23:51:07,"RT @OffCameraShow: For episode #200 and the season finale, @RobertDowneyJr joins @samjones once again! Dont miss the conversation tonight",offcamerashow episode season finale robe downeyjr joins samjones dont miss nversation tonight,93,0,1
133,2019-07-15 23:51:09,"RT @_dilf: it would take thor, the hulk, iron man, captain america, thanos, black panther AND doctor strange to get me out them cheeks. htt",dilf would take thor hulk iron man captain america thanos black panther doctor strange get cheeks htt,101,-1,-1
134,2019-07-15 23:51:09,RT @Avengers: Marvel Studios and #AvengersEndgame directors Anthony and Joe Russo have teamed up to launch the #WeLoveYou3000 Tour! As a th,avengers marvel studios avengersendgame directors anthony joe russo teamed launch weloveyou tour th,99,0,1
135,2019-07-15 23:51:10,RT @NathanZed: At the Avengers Headquarters of young black content creators https://t.co/WZdDkPhRmH,nathanzed avengers headqua ers young black ntent creators wzddkphrmh,68,-1,0
136,2019-07-15 23:51:10,RT @theMemesBot: Avengers got it all wrong https://t.co/LCEFss0dTE,thememesbot avengers got wrong lcefss dte,41,-1,-1
